"SREENIDHI UNIVERSITY, Hyderabad
All Departments
Proposed Budget for the Financial Year 2026-27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date: 07.04.2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summary of the Proposed Budget for the Current year (2026-27) & Expenses for the previous year (2025-26),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.N.,Budget Head,,,"Proposed Budget for the current year (2026-27)
(Rs. in Lakhs)",,,,,,,,,,,,,,,,,,,,,,,,,,,"Actual Expenses in the previous year (2025-26)-
As on date
(Rs. in Lakhs)",Remark
,,,,Apr.-Jun.,,,,,,,Jul.-Sept.,,,,,,Oct.-Dec.,,,,,,Jan.-Mar.,,,,,,,Total,,
,,,,CSE,Chem,EECE,Maths,Eng,Phy,,CSE,EECE,Maths,Eng,Phy,,CSE,EECE,Maths,Eng,Phy,,CSE,Chem,EECE,Maths,Eng,Phy,,,,
1,Laboratory,Non-Recurring,Equipment,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.00,41.00,42.00,,
,,,Computers,0,1.5,4,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5,13.50,24.50,,
,,,Spares/Accessories,0,0,0.25,0,0.5,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.20,36.20,37.70,,
,,,Others (Specify),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.50,0.50,,
,,Recurring,Consumables,1,0,0.05,0,0.0055,0,1.0555,1,0,0,0.0055,0,1.0055,1,0,0,0.0055,0,1.0055,1,0,0,0,0.0055,0,1.01,7.14,,
,,,Maintenance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,
,,,Stationary,0,0,0.05,0.2,0.03,0,0.28,0,0,0.20,0.03,0,0.23,0,0,0.20,0.03,0,0.23,0,0,0,0.2,0.03,0,0.23,1.71,,
,,,Others (Specify),1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1.00,7.00,,
2,Students Activities (Co-curricular),Non-Recurring,Equipment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,
,,Recurring,Organizing,0,0,0,0,0.15,1,1.15,0,0,0,0.15,0,0.15,0,0,0.2,0.15,0,0.35,0,0,0,0,0.15,1,1.15,4.45,,
,,,Attending,0,0,0,0,0.15,0,0.15,0,0,0,0.15,0,0.15,0,0,0,0.15,0,0.15,0,0,0,0,0.15,0,0.15,1.05,,
,,,Others (Specify),0,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,0,4,0,4.00,28.00,,
3,"FDP/STTP/
Workshop / Seminar / Conferences, etc.,",Non-Recurring,Equipment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,
,,Recurring,Organizing,0,0.7,0,0,2.5,0,3.2,2.00,0,2.5,0,0,4.5,0,2,2,2.5,0,6.5,2.00,0,0,2,0,4,8.00,36.40,,
,,,Attending,2.00,0.3,0.2,0.5,0.75,0.5,4.25,2.00,0.2,0.5,0,0.5,3.2,2.00,0.2,0.5,0.75,0.5,3.95,2.00,0,0.2,0.5,0,2,4.70,27.50,,
,,,Travel,0,0,0.05,0.5,0.25,0,0.8,0,0.05,0.5,0,0,0.55,0,0.05,0.5,0.25,0,0.8,0,0.7,0.05,0.5,0,0,1.25,5.55,,
,,,Others (Specify),0,0.01,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0.30,0.32,,
4,R&D,Non-Recurring,Equipment,52.72,,,,,,,52.75,,,,,,52.75,,,,,,52.75,,,,,,,210.97,,
,,Recurring,Seed Grants for Faculty Projects,42.35,,,,,,,10.7,,,,,,5.68,,,,,,0,,,,,,,58.73,,
,,,Publication Incentives,5,,,,,,,5,,,,,,5,,,,,,5,,,,,,,20.00,,
,,,Conference Registration & Travel Grants,9,,,,,,,7,,,,,,7,,,,,,7,,,,,,,30.00,,
,,,Organizing National & International Conferences / Workshops,0,,,,,,,5,,,,,,0,,,,,,5,,,,,,,10.00,,
,,,Patent Filing / Incentives / Grants,1,,,,,,,1,,,,,,1,,,,,,1,,,,,,,4.00,,
,,,Regular Research Talks/ Distinguished Lecture Series,0.5,,,,,,,0.5,,,,,,0.5,,,,,,0.5,,,,,,,2.00,,
,,,"E-Resources – Plagiarism Software, E-Journals, E-Books etc",10,,,,,,,0,,,,,,0,,,,,,0,,,,,,,10.00,,
,,,Student Research Grants,1,,,,,,,1,,,,,,1,,,,,,1,,,,,,,4.00,,
5,Library,Non-Recurring,Equipment,0,,,,,,,0,,,,,,0,,,,,,0,,,,,,,0.00,,
,,,Others (Specify),0.95,,,,,,,0,,,,,,0,,,,,,0,,,,,,,0.95,,
,,Recurring,Text books,15,,,,,,,0,,,,,,0,,,,,,20,,,,,,,35.00,,
,,,Reference books,0,,,,,,,1.5,,,,,,0,,,,,,0,,,,,,,1.50,,
,,,Journals/Periodicals,1.04,,,,,,,0,,,,,,0,,,,,,0,,,,,,,1.04,,
,,,CD’s/Digital Library,0,,,,,,,2.5,,,,,,90,,,,,,0,,,,,,,92.50,,
,,,Magazines,0.075,,,,,,,0.075,,,,,,0.075,,,,,,0.075,,,,,,,0.30,,
,,,Others (Specify),0,,,,,,,0,,,,,,0,,,,,,0,,,,,,,0.00,,
6, Pro-Chancellore Office /  Administrative ,Non-Recurring,Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Received
,,,Others (Specify),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Recurring,Stationary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Others (Specify),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,VC Office ,Non-Recurring,Equipment,1.50,,,,,,,0,,,,,,0,,,,,,0,,,,,,,1.50,,
,,,Others (Specify),5.00,,,,,,,0,,,,,,0,,,,,,0,,,,,,,5.00,,
,,Recurring,Stationary,0.15,,,,,,,0.15,,,,,,0.15,,,,,,0.15,,,,,,,0.60,,
,,,Others (Specify),7.30,,,,,,,7.3,,,,,,7.3,,,,,,7.30,,,,,,,29.20,,
8,Registrar Office,Non-Recurring,Equipment,0,,,,,,,0,,,,,,0,,,,,,0,,,,,,,0.00,0.71,
,,,Others (Specify),0,,,,,,,0,,,,,,0,,,,,,0,,,,,,,0.00,0,
,,Recurring,Stationary,0.0326,,,,,,,0.0326,,,,,,0.0326,,,,,,0.0326,,,,,,,0.13,0.065,
,,,Others (Specify),1.975,,,,,,,1.975,,,,,,1.975,,,,,,1.975,,,,,,,7.90,,
9, Deans Office,Non-Recurring,Equipment,0.0209,,,,,,,0.0209,,,,,,0.0209,,,,,,0.0209,,,,,,,0.08,,
,,,Others (Specify),0.105,,,,,,,0.105,,,,,,0.105,,,,,,0.105,,,,,,,0.42,,
,,Recurring,Stationary,0.13,,,,,,,0.13,,,,,,0.13,,,,,,0.13,,,,,,,0.52,,
,,,Others (Specify),0.081,,,,,,,0.081,,,,,,0.081,,,,,,0.081,,,,,,,0.32,,
9,HoD Office (CSE & Allied Dept.),Non-Recurring,Equipment,1,,,,,,,1,,,,,,1,,,,,,1,,,,,,,4.00,,
,,,Others (Specify),0,,,,,,,0,,,,,,0,,,,,,0,,,,,,,0.00,,
,,Recurring,Stationary,1,,,,,,,1,,,,,,1,,,,,,1,,,,,,,4.00,,
,,,Others (Specify),0,,,,,,,0,,,,,,0,,,,,,0,,,,,,,0.00,,
10,Sports,Non-Recurring,Equipment,5.92,,,,,,,1,,,,,,0,,,,,,0,,,,,,,7.22,6.99,
,,,Others (Specify),0,,,,,,,10,,,,,,1,,,,,,0,,,,,,,11.00,0,
,,Recurring,Equipment,2.19,,,,,,,0,,,,,,0,,,,,,0,,,,,,,2.19,7.10,
,,,Others (Specify),1.1,,,,,,,0.23,,,,,,0.743,,,,,,0,,,,,,,2.07,0,
11,ICT Dept.,Non-Recurring,Desktops (800),188,,,,,,,188,,,,,,0,,,,,,0,,,,,,,376.00,,
,,,IT Equipment,7.3,,,,,,,7.3,,,,,,0,,,,,,0,,,,,,,14.60,,
,,,IT Accessories,5,,,,,,,5,,,,,,0,,,,,,0,,,,,,,10.00,,
,,,CISCO,11.6,,,,,,,11.6,,,,,,0,,,,,,0,,,,,,,23.20,,
,,,Network Cabling,5,,,,,,,5,,,,,,0,,,,,,0,,,,,,,10.00,,
,,,AV Equipment,0,,,,,,,4.4,,,,,,0,,,,,,0,,,,,,,4.40,,
,,,Seminar Hall & Labs/classrooms - 4th Floor,65,,,,,,,65,,,,,,0,,,,,,0,,,,,,,130.00,,
,,,Wireless tower,0.8,,,,,,,,,,,,,0,,,,,,0,,,,,,,0.80,,
,,,AI Server,75,,,,,,,75,,,,,,0,,,,,,0,,,,,,,150.00,,
,,,Apple Macbook,0,,,,,,,48.6,,,,,,48.6,,,,,,0,,,,,,,97.20,,
,,Recurring,Internet,1.75,,,,,,,1.75,,,,,,1.75,,,,,,1.75,,,,,,,7.00,,
,,,Website Hosting,0,,,,,,,,,,,,,,,,,,,0.3,,,,,,,0.30,,
,,,Back-up Internet ,0,,,,,,,4.13,,,,,,4.13,,,,,,4.13,,,,,,,12.39,,
,,,Google Gemini AI Pro for Education,0,,,,,,,0,,,,,,0.342,,,,,,0.342,,,,,,,0.68,,
,,,Grammerly for Education,0,,,,,,,0,,,,,,1.65,,,,,,1.65,,,,,,,3.30,,
12,SAP,Non-Recurring,Additional SAP licenses,50.19,,,,,,,0,,,,,,0,,,,,,0,,,,,,,50.19,,
,,,Website rebuild & SEO,5.4,,,,,,,1.92,,,,,,1.92,,,,,,1.92,,,,,,,11.16,,
,,Recurring,SAP Application Support & Development (Sutherland),2.115,,,,,,,2.115,,,,,,2.115,,,,,,2.115,,,,,,,8.46,,
,,,SAP Cloud Server (MSR-IT) ,1.44,,,,,,,1.44,,,,,,1.44,,,,,,1.44,,,,,,,5.76,,
,,,SAP Integrated Program,210.85,,,,,,,,,,,,,,,,,,,,,,,,,,210.85,,
,,,Messaging,2.8,,,,,,,2.8,,,,,,0.3,,,,,,0.3,,,,,,,6.20,,
,,,Sreenidhi.ai,3.71,,,,,,,7.09,,,,,,7.09,,,,,,7.09,,,,,,,24.98,,
,,,DEC or equivalent membership,7.125,,,,,,,7.125,,,,,,0,,,,,,0,,,,,,,14.25,,
,,,Turnitin,5.7,,,,,,,0,,,,,,0,,,,,,0,,,,,,,5.70,,
,,,Merito,10,,,,,,,0,,,,,,0,,,,,,0,,,,,,,10.00,,
,,,Wheebox,4,,,,,,,0,,,,,,0,,,,,,0,,,,,,,4.00,,
13,Career Development Center / Training,Non-Recurring,Equipment,0.2,,,,,,,0.2,,,,,,5.2,,,,,,0.2,,,,,,,5.80,,
,,,Others (Specify),0.1,,,,,,,0.1,,,,,,0.1,,,,,,25.1,,,,,,,25.40,,
,,Recurring,Equipment,0.5,,,,,,,0.5,,,,,,0.5,,,,,,0.5,,,,,,,2.00,,
,,,Others (Specify),0.52,,,,,,,0.52,,,,,,1.52,,,,,,0.52,,,,,,,3.08,,
14,HR Dept. / Staff salary,Non-Recurring,Teaching,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,Forwarded to President Sir
,,,Others (Specify),,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,
,,Recurring,Non-Teaching,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,
,,,Others (Specify),,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,
15,Health Centre,Non-Recurring,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,Not Received
,,Recurring,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,
16,"NSS/YRC/NCC –
Any other Club Activities",Non-Recurring,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,
,,Recurring,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,
17,Transport Dept. / Vehicles,Non-Recurring,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,Not Received
,,Recurring,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,
18,Student Affairs,Non-Recurring,,1,,,,,,,0,,,,,,0,,,,,,0,,,,,,,1,,
,,Recurring,,0.7,,,,,,,0.7,,,,,,0.7,,,,,,0.7,,,,,,,2.8,,
19,Examination Section,Non-Recurring,Equipment,0.93,,,,,,,0,,,,,,0,,,,,,0,,,,,,,0.93,,
,,,Others (Specify),0,,,,,,,0,,,,,,0,,,,,,0,,,,,,,0.00,,
,,Recurring,Equipment,9.65,,,,,,,0,,,,,,3.05,,,,,,0,,,,,,,12.70,,
,,,Others (Specify),0,,,,,,,0,,,,,,0,,,,,,0,,,,,,,0.00,,
20,SDG Impact Prog.,Non-Recurring,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,Not Received
